1,隐形网,型号,恒大标配
2,隐形网,型号,标准型
3,隐形网,型号,普及型
4,隐形网,颜色,银色(恒大标配)
5,隐形网,颜色,香槟色(恒大标配)
6,隐形网,颜色,白色(标准_普及)
7,隐形网,位置,大阳台
8,隐形网,位置,小阳台
9,晾衣杆,型号,G1-25
10,晾衣杆,型号,G2-32
11,晾衣杆,型号,G3-32
12,晾衣杆,型号,手摇型
13,晾衣杆,颜色,白(Gn)
14,晾衣杆,颜色,银色(手摇型)
15,晾衣杆,颜色,香槟金(手摇型)
16,晾衣杆,位置,大阳台
17,晾衣杆,位置,小阳台
18,纱窗,型号,ST613
19,纱窗,型号,不可拆左右趟
20,纱窗,型号,可拆左右趟
21,纱窗,型号,普及上下趟
22,纱窗,颜色,深灰
23,纱窗,位置,主卧
24,纱窗,位置,次卧
25,纱窗,位置,客房
26,纱窗,位置,书房
27,纱窗,位置,衣帽间
28,纱窗,位置,厨房
29,纱窗,位置,主卫
30,纱窗,位置,公卫
31,纱窗,位置,其他
32,晾衣机,型号,BY-02
33,晾衣机,型号,BY-06
34,晾衣机,颜色,香槟金
35,晾衣机,颜色,太空银
36,晾衣机,位置,大阳台
37,晾衣机,位置,小阳台
38,纱门,型号,普及型
39,纱门,型号,基本型
40,纱门,型号,碧云801
41,纱门,型号,碧云804E
42,纱门,型号,碧云805E
43,纱门,颜色,深灰
44,纱门,位置,大阳台
45,纱门,位置,小阳台
46,窗花,型号,一帆风顺
47,窗花,型号,双喜临门
48,窗花,型号,心心相印
49,窗花,型号,招财进宝
50,窗花,颜色,深灰
51,窗花,位置,主卧
52,窗花,位置,次卧
53,窗花,位置,客房
54,窗花,位置,书房
55,窗花,位置,衣帽间
56,窗花,位置,厨房
57,窗花,位置,主卫
58,窗花,位置,公卫
59,窗花,位置,其他
60,指纹锁,型号,9001
61,指纹锁,型号,935
62,指纹锁,型号,938
63,指纹锁,型号,普及型
64,指纹锁,颜色,古铜红
65,指纹锁,颜色,香槟金
66,指纹锁,位置,客厅
